dataset_id,dataset_name,num_instances,num_features,num_classes,default_target_attribute,total_missing_values,percentage_missing_values,instances_with_missing_values,num_numeric_features,num_symbolic_features,percentage_numeric_features,percentage_symbolic_features,majority_class_percentage,minority_class_percentage,majority_class_size,minority_class_size,mean,std_dev,min,max,kurtosis,skewness,auto_correlation,class_entropy,model_id,model_name,accuracy,task_type
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,530,weka.Bagging_NaiveBayes,0.740506,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,506,weka.RotationForest_PrincipalComponents_J48,0.981013,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,506,weka.RotationForest_PrincipalComponents_J48,0.955696,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,531,weka.Bagging_OneR,0.724684,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,506,weka.RotationForest_PrincipalComponents_J48,0.974684,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,532,weka.Bagging_RandomForest,0.927215,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,532,weka.Bagging_RandomForest,0.924051,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,532,weka.Bagging_RandomForest,0.920886,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,533,weka.Bagging_RandomTree,0.924051,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,533,weka.Bagging_RandomTree,0.93038,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,533,weka.Bagging_RandomTree,0.892405,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,378,weka.Bagging_REPTree,0.901899,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,378,weka.Bagging_REPTree,0.89557,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,378,weka.Bagging_REPTree,0.886076,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,534,weka.Bagging_SMO_PolyKernel,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,548,weka.BayesNet_GeneticSearch,0.768987,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,364,weka.ZeroR,0.617089,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,675,weka.J48,0.829114,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,375,weka.OneR,0.724684,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,376,weka.AdaBoostM1_DecisionStump,0.71519,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,378,weka.Bagging_REPTree,0.882911,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,380,weka.NaiveBayes,0.734177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,677,weka.Logistic,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,384,weka.SGD,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,385,weka.SMO_PolyKernel,0.987342,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,387,weka.SMO_RBFKernel,0.617089,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,389,weka.IBk,0.977848,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,390,weka.JRip,0.984177,Supervised Classification
50,tic-tac-toe,958,10,2,Class,0,0,0,0,10,0,100,65.34446764,34.65553236,626,332,,,,,,,0.9989550679,0.9309539863,391,weka.RandomForest,0.927215,Supervised Classification
